"GLACIER_ID","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003"
"G006116E44918N_3267_SMB","-0.9319479","0.1129277","-0.5291859","-0.9707845","-0.9107158","-0.2193538","-1.7719697","-1.0823815","0.0005327","-1.2800024","0.6244184","0.5451676","-0.274762","0.3286929","-0.0924487","-0.1747558","-0.3053304","0.3381525","-0.6919453","-1.3888227","-0.4110216","-0.0574866","-1.6785271","-1.4680911","-0.7227569","-0.9526703","-0.564438","-0.2152542","0.3973055","-0.2571056","-0.6777719","-1.654881","-0.807686","-1.131659","1.0163761","-1.3698478","-2.7750015"
"G006116E45243N_3440_SMB","-0.4297003","-0.1567269","-0.8772949","-0.3899076","-1.6563526","-0.3930661","-1.1326525","-0.9864736","-0.2526727","-1.7030905","0.4194561","0.8165939","-0.03348","0.8218738","0.3844155","0.0419624","-0.1021592","0.6448274","-0.4174218","-1.6459876","0.2873983","0.0609803","-1.7855179","-1.8611608","-0.7794068","-1.05424","-0.6727217","-0.5450813","1.0171764","-0.2108021","-0.7185676","-1.6518303","-0.7893718","-0.8980755","0.1989777","-1.841428","-3.5836153"
"G006120E44915N_3298_SMB","-0.6811651","0.1164762","-0.3702756","-0.7816302","-0.8163947","-0.2053567","-1.4286053","-0.8479306","-0.4535961","-1.0168916","0.4078951","0.4040793","-0.2183239","0.1778933","-0.0796703","-0.2760094","-0.2339211","0.1624197","-0.3164487","-1.2472532","-0.4622071","-0.0627441","-1.2119319","-0.986423","-0.5981447","-0.5801816","-0.5543355","-0.5292251","0.3239403","-0.0047452","-0.6560645","-1.4443545","-0.6966338","-1.0559479","0.5493135","-0.9315553","-2.7371144"
"G006125E45280N_3486_SMB","-0.2786978","-0.8973465","-0.9002691","-0.6032853","-1.5332673","-0.5333538","-1.1465833","-0.7781126","-0.4423742","-1.1926496","0.0574543","0.7286432","-0.0345385","0.5426528","0.3274486","0.0330035","-0.0421462","0.5494105","-0.4503846","-1.6770666","0.1412882","0.1147664","-1.7699283","-1.5046458","-0.6568389","-0.8447478","-0.5333853","-0.4453989","0.9748162","-0.1455074","-0.6647264","-1.1508837","-0.7856045","-1.0319664","0.2467285","-1.0812094","-3.376688"
"G006126E45249N_3620_SMB","-0.3828998","-0.8786318","-0.8707206","-0.6697462","-1.5986753","-0.6080076","-1.1625926","-0.865811","-0.4181008","-1.36148","0.1304788","0.7567033","0.0398379","0.6402812","0.3890534","0.0995707","-0.0632731","0.4650148","-0.5808387","-1.6887772","0.1320711","0.0145947","-1.8601047","-1.7194562","-0.6439095","-0.8828928","-0.5208075","-0.381057","0.9600237","-0.2001912","-0.6942745","-1.2246873","-0.7926819","-1.0144023","0.1779987","-1.2600334","-3.3642197"
"G006129E45117N_3756_SMB","-0.4245428","0.0286324","-0.3731308","-0.5575638","-0.8277066","-0.2225184","-0.4117539","-0.5612979","0.1028197","-1.4099016","0.0656198","-0.1174553","-0.6439201","-0.1070694","-0.4735714","-0.47307","-0.2087921","0.3206112","-0.0453176","-1.6123567","-0.344162","-0.5504857","-1.1011479","-0.9066983","-0.8170743","-0.9862677","-0.562742","-0.613994","0.1953916","-0.0427219","-0.9429901","-1.6222818","-0.3868535","-1.1786873","0.3097911","-0.1711623","-2.2498031"
"G006129E45117N_3757_SMB","-0.5182654","0.0796238","-0.9244848","-0.4069244","-1.157982","-0.4592273","-0.7543986","-1.316563","0.1075335","-1.859831","0.4505472","0.2565829","-0.3463639","0.1438991","-0.1663114","-0.2393566","-0.2202657","0.5248156","-0.4680144","-1.6496452","-0.7315418","-0.5512512","-1.7407116","-1.6142079","-1.1445243","-1.2966112","-1.0299962","-0.4005919","0.6146147","-0.0591467","-0.7926732","-1.8232601","-0.9449967","-1.2526066","0.376248","-1.5657282","-2.6408203"
"G006129E45141N_0_2_SMB","-0.7274134","0.1873204","-0.230831","-0.0104738","-1.1958703","-0.2922924","-0.460914","-1.0923154","0.0790759","-1.5221869","0.4402277","0.6439788","-0.1855674","0.6293025","0.0200286","-0.151598","-0.3901395","0.7745547","-0.4382931","-1.5535326","-0.5467833","-0.1862555","-1.5098085","-1.6604834","-1.1662276","-1.5321064","-0.7846078","-0.6887222","0.6530387","-0.6179042","-1.0894223","-2.0823035","-0.9899573","-1.4749811","0.1771614","-1.8902884","-2.9668345"
"G006129E45141N_0_SMB","-0.6717877","0.2495317","-0.2579759","0.0507173","-1.1062093","-0.3278849","-0.4919799","-1.1363282","0.2199142","-1.5380108","0.5760014","0.7508132","-0.0515418","0.7496016","0.1560278","-0.0687533","-0.2297556","0.7858832","-0.3801073","-1.5500661","-0.4048056","-0.0357393","-1.3855079","-1.883342","-1.0703657","-1.4668341","-0.780351","-0.5139704","0.7282228","-1.0565414","-1.2605287","-2.1962297","-1.0672915","-1.4817883","0.0908925","-2.1141357","-3.1611307"
"G006129E45141N_3702_SMB","-0.5237672","0.315753","-0.0116322","0.0864061","-0.7265731","-0.0426098","-0.2153671","-0.5426983","0.0773318","-0.8121067","0.2069946","0.5247382","-0.1677915","0.3607049","-0.0976294","-0.1686627","-0.1960642","0.8324201","0.159964","-1.3249279","-0.3352257","0.0293119","-1.0272717","-0.6253827","-0.6546565","-0.8551147","-0.5900303","-0.3407846","0.6753227","0.068979","-0.4064412","-1.3972125","-0.5868312","-0.9088804","0.3769045","-0.2956402","-2.2302153"
